"Eil.
Nr.",Savivaldybės,pavadinimas,"Bendras
gyventojų skaičius",,Amžiaus grupės,
,,,,0 - 6,7 - 17,Pensinio amžiaus
1,Akmenės r. sav.,,24035,1330,2632,5774
2,Alytaus m. sav.,,61676,3572,6512,13183
3,Alytaus r. sav.,,30406,1816,3140,7149
4,Anykščių r. sav.,,29315,1235,2756,7882
5,Birštono sav.,,4913,261,454,1185
6,Biržų r. sav.,,30137,1547,3181,7431
7,Druskininkų sav.,,23391,1240,2073,5525
8,Elektrėnų sav.,,26646,1769,2740,5439
9,Ignalinos r. sav.,,18741,780,1661,5247
10,Jonavos r. sav.,,48619,3284,5784,9830
11,Joniškio r. sav.,,26482,1425,2956,5961
12,Jurbarko r. sav.,,31777,1703,3380,7258
13,Kaišiadorių r. sav.,,33242,1905,3632,7312
14,Kalvarijos sav.,,12630,851,1616,2503
15,Kauno m. sav.,,325947,24266,30824,76280
16,Kauno r. sav.,,94043,7380,11207,16589
17,Kazlų Rūdos sav.,,13268,850,1523,2905
18,Kėdainių r. sav.,,56226,3379,6218,12837
19,Kelmės r. sav.,,33237,1821,3553,7911
20,Klaipėdos m. sav.,,177299,14385,16670,37364
21,Klaipėdos r. sav.,,55812,4303,6769,9285
22,Kretingos r. sav.,,43202,2991,4846,8890
23,Kupiškio r. sav.,,20756,1027,2180,5029
24,Lazdijų r. sav.,,23247,1296,2355,5642
25,Marijampolės sav.,,64440,4350,7156,12500
26,Mažeikių r. sav.,,62273,4460,7247,11132
27,Molėtų r. sav.,,21335,1007,1987,5316
28,Neringos sav.,,4526,210,358,670
29,Pagėgių sav.,,10563,729,1272,1965
30,Pakruojo r. sav.,,23627,1279,2734,5306
31,Palangos m. sav.,,17750,1084,1703,4200
32,Panevėžio m. sav.,,105184,6664,10538,23661
33,Panevėžio r. sav.,,41806,2381,4566,8555
34,Pasvalio r. sav.,,29618,1651,3324,6554

"Eil.
Nr.",Savivaldybės,pavadinimas,"Bendras
gyventojų skaičius",,Amžiaus grupės,
,,,,0 - 6,7 - 17,Pensinio amžiaus
35,Plungės r. sav.,,,,,
,,40373,,2610,4750,8046
36,Prienų r. sav.,30470,,1680,3143,7271
37,Radviliškio r. sav.,42891,,2470,4860,9407
38,Raseinių r. sav.,38051,,2112,4245,8970
39,Rietavo sav.,9141,,576,1036,1829
40,Rokiškio r. sav.,35285,,1562,3417,8773
41,Skuodo r. sav.,21436,,1081,2345,4875
42,Šakių r. sav.,33881,,1903,3826,7488
43,Šalčininkų r. sav.,36174,,2184,4035,6715
44,Šiaulių m. sav.,115385,,8465,11118,24474
45,Šiaulių r. sav.,45582,,2621,4917,9729
46,Šilalės r. sav.,27959,,1846,3415,5326
47,Šilutės r. sav.,49353,,3323,5817,9268
48,Širvintų r. sav.,17871,,977,1762,3993
49,Švenčionių r. sav.,28205,,1439,2769,6826
50,Tauragės r. sav.,46745,,2900,5065,9818
51,Telšių r. sav.,49832,,3227,5566,10645
52,Trakų r. sav.,35811,,2430,3732,7181
53,Ukmergės r. sav.,41003,,2226,3970,10317
54,Utenos r. sav.,43847,,2244,4065,10375
55,Varėnos r. sav.,26078,,1196,2503,6685
56,Vilkaviškio r. sav.,44495,,2756,5282,9622
57,Vilniaus m. sav.,568754,,49478,54858,111367
58,Vilniaus r. sav.,101409,,7525,11991,16869
59,Visagino sav.,25202,,1580,2117,4474
60,Zarasų r. sav.,19060,,941,1858,4858
,Iš viso:,3200462,,219583,332009,679471
