,A,B,C,D,E,F
,Eil.,Savivaldybės,Bendras,,,
1,Nr.,pavadinimas,gyventojų skaičius,,Amžiaus grupės,
2,,,,0 - 6,7 - 17 Pensinio amžiaus,
3,1,Akmenės r. sav.,22929,1120,2237,5693
4,2,Alytaus m. sav.,59039,2914,5725,13499
5,3,Alytaus r. sav.,29694,1475,2924,6920
6,4,Anykščių r. sav.,27892,1070,2318,7497
7,5,Birštono sav.,4783,220,432,1199
8,6,Biržų r. sav.,28865,1274,2762,7163
9,7,Druskininkų sav.,22861,1113,1960,5442
10,8,Elektrėnų sav.,26361,1542,2586,5383
11,9,Ignalinos r. sav.,17809,636,1430,5007
12,10,Jonavos r. sav.,47454,2671,5399,9858
13,11,Joniškio r. sav.,25020,1118,2509,5819
14,12,Jurbarko r. sav.,30458,1434,3034,6999
15,13,Kaišiadorių r. sav.,32291,1611,3346,7143
16,14,Kalvarijos sav.,12231,719,1453,2428
17,15,Kauno m. sav.,318893,20526,30727,75101
18,16,Kauno r. sav.,96634,6345,11788,16671
19,17,Kazlų Rūdos sav.,12915,761,1405,2811
20,18,Kėdainių r. sav.,54212,2736,5734,12584
21,19,Kelmės r. sav.,31359,1368,3067,7592
22,20,Klaipėdos m. sav.,173522,12152,17747,37129
23,21,Klaipėdos r. sav.,57645,3584,6972,9478
24,22,Kretingos r. sav.,42091,2420,4635,8739
25,23,Kupiškio r. sav.,19639,845,1894,4842
26,24,Lazdijų r. sav.,22284,1061,2153,5390
27,25,Marijampolės sav.,62261,3576,6627,12359
28,26,Mažeikių r. sav.,60252,3635,6734,11181
29,27,Molėtų r. sav.,20483,805,1774,5116
30,28,Neringos sav.,4725,167,360,733
31,29,Pagėgių sav.,9982,628,1094,1881
32,30,Pakruojo r. sav.,22391,1028,2306,5149
33,31,Palangos m. sav.,17874,931,1710,4328
34,32,Panevėžio m. sav.,101179,5385,9903,23449
35,33,Panevėžio r. sav.,40953,2071,4090,8392
36,34,Pasvalio r. sav.,28129,1418,2919,6296
37,35,Plungės r. sav.,39128,2205,4242,7926
38,36,Prienų r. sav.,29430,1465,2765,6991
39,37,Radviliškio r. sav.,40839,2068,4275,9088
40,38,Raseinių r. sav.,36473,1751,3719,8568
41,39,Rietavo sav.,8773,476,925,1779
42,40,Rokiškio r. sav.,33671,1252,3021,8402
43,41,Skuodo r. sav.,20503,970,1957,4726
44,42,Šakių r. sav.,32536,1607,3321,7106
45,43,Šalčininkų r. sav.,35460,1931,3880,6495
46,44,Šiaulių m. sav.,112971,7030,10902,24381
47,45,Šiaulių r. sav.,45050,2314,4539,9561
48,46,Šilalės r. sav.,26806,1538,2980,5140
49,47,Šilutės r. sav.,47422,2823,5168,9124
50,48,Širvintų r. sav.,17419,847,1621,3895

A,,B,C,D,E,F
51,49,Švenčionių r. sav.,27081,1173,2467,6558
52,50,Tauragės r. sav.,45243,2566,4593,9615
53,51,Telšių r. sav.,47866,2598,5109,10333
54,52,Trakų r. sav.,35101,2025,3639,7056
55,53,Ukmergės r. sav.,39325,1859,3628,9832
56,54,Utenos r. sav.,42243,1820,3655,10210
57,55,Varėnos r. sav.,24958,1034,2180,6387
58,56,Vilkaviškio r. sav.,42547,2204,4622,9360
59,57,Vilniaus m. sav.,575038,43299,60705,111985
60,58,Vilniaus r. sav.,102014,6214,12174,17046
61,59,Visagino sav.,24278,1327,2155,4797
62,60,Zarasų r. sav.,18158,745,1626,4659
63,,Iš viso:,3135443,185500,321622,670291
