"Eil.
Nr.","Savivaldybės
pavadinimas","Bendras
gyventojų
skaičius",,Amžiaus grupės,
,,,0 - 6,7 - 17,Pensinio amžiaus
1,Akmenės r. sav.,21564,995,2108,5610
2,Alytaus m. sav.,56041,2690,5286,13574
3,Alytaus r. sav.,28902,1452,2818,6668
4,Anykščių r. sav.,26247,1040,2105,7198
5,Birštono sav.,4568,198,400,1187
6,Biržų r. sav.,26686,1174,2425,6890
7,Druskininkų sav.,21880,1107,1910,5342
8,Elektrėnų sav.,25901,1486,2527,5295
9,Ignalinos r. sav.,16609,604,1275,4731
10,Jonavos r. sav.,44947,2437,4943,9875
11,Joniškio r. sav.,23407,1036,2256,5664
12,Jurbarko r. sav.,28707,1327,2831,6826
13,Kaišiadorių r. sav.,30988,1559,3204,7003
14,Kalvarijos sav.,11402,657,1350,2290
15,Kauno m. sav.,308674,19620,31019,73867
16,Kauno r. sav.,99691,6594,12295,17094
17,Kazlų Rūdos sav.,12052,679,1303,2740
18,Kėdainių r. sav.,51165,2522,5260,12333
19,Kelmės r. sav.,29373,1285,2755,7313
20,Klaipėdos m. sav.,165281,11461,17927,36986
21,Klaipėdos r. sav.,60718,3854,7231,9790
22,Kretingos r. sav.,40372,2314,4549,8572
23,Kupiškio r. sav.,18498,816,1645,4701
24,Lazdijų r. sav.,20908,905,1991,5135
25,Marijampolės sav.,59327,3415,6309,12392
26,Mažeikių r. sav.,57150,3267,6489,11206
27,Molėtų r. sav.,19346,760,1628,4830
28,Neringos sav.,5025,152,382,805
29,Pagėgių sav.,9202,531,991,1826
30,Pakruojo r. sav.,20866,963,2045,4931
31,Palangos m. sav.,17681,890,1755,4502
32,Panevėžio m. sav.,95591,4960,9311,23321
33,Panevėžio r. sav.,39364,2009,3983,8233
34,Pasvalio r. sav.,26279,1283,2633,6052
35,Plungės r. sav.,36986,2116,3985,7822
36,Prienų r. sav.,28121,1382,2654,6819
37,Radviliškio r. sav.,38815,1930,4036,8899
38,Raseinių r. sav.,34605,1649,3398,8351
39,Rietavo sav.,8310,455,887,1720
40,Rokiškio r. sav.,31688,1271,2765,8069
41,Skuodo r. sav.,19145,947,1763,4574
42,Šakių r. sav.,30502,1470,3047,6871
43,Šalčininkų r. sav.,34526,1875,3838,6352
44,Šiaulių m. sav.,109595,6681,10561,24256
45,Šiaulių r. sav.,43928,2287,4526,9468
46,Šilalės r. sav.,25064,1375,2743,4982

47,Šilutės r. sav.,44585,2653,4794,9050
48,Širvintų r. sav.,16744,813,1525,3824
49,Švenčionių r. sav.,25699,1078,2293,6313
50,Tauragės r. sav.,42907,2476,4301,9395
51,Telšių r. sav.,44793,2318,4768,10126
52,Trakų r. sav.,34535,2040,3566,6936
53,Ukmergės r. sav.,37344,1850,3377,9459
54,Utenos r. sav.,40520,1783,3447,10031
55,Varėnos r. sav.,23614,993,2027,6142
56,Vilkaviškio r. sav.,39681,1973,4197,9150
57,Vilniaus m. sav.,570806,43077,64225,112582
58,Vilniaus r. sav.,103531,6103,12361,17467
59,Visagino sav.,22722,1286,2123,5188
60,Zarasų r. sav.,17125,680,1488,4522
,Iš viso:,3030303,178603,315634,663150
