Eil. nr.,Savivaldybės pavadinimas,"Bendras
gyventojų
skaičius",Amžiaus grupės,,
,,0–6,7–17,,Pensinio amžiaus
1,Akmenės r. sav.,21210,992,2027,5809
2,Alytaus m. sav.,55472,2691,5177,14209
3,Alytaus r. sav.,28543,1364,2795,6788
4,Anykščių r. sav.,25645,993,2046,7263
5,Birštono sav.,4502,195,396,1248
6,Biržų r. sav.,26169,1121,2343,7028
7,Druskininkų sav.,21625,1063,1932,5554
8,Elektrėnų sav.,26150,1458,2573,5568
9,Ignalinos r. sav.,16167,544,1236,4810
10,Jonavos r. sav.,44435,2411,4802,10295
11,Joniškio r. sav.,22988,977,2196,5851
12,Jurbarko r. sav.,28060,1272,2732,7025
13,Kaišiadorių r. sav.,30524,1475,3149,7308
14,Kalvarijos sav.,11147,637,1272,2345
15,Kauno m. sav.,310940,19742,31587,76592
16,Kauno r. sav.,101039,6394,12447,18247
17,Kazlų Rūdos sav.,11887,641,1305,2815
18,Kėdainių r. sav.,50514,2444,5152,12630
19,Kelmės r. sav.,28708,1191,2684,7498
20,Klaipėdos m. sav.,166649,11484,18339,38673
21,Klaipėdos r. sav.,62310,3864,7470,10436
22,Kretingos r. sav.,40264,2349,4528,8945
23,Kupiškio r. sav.,18097,756,1626,4812
24,Lazdijų r. sav.,20453,852,1932,5207
25,Marijampolės sav.,58962,3342,6231,13067
26,Mažeikių r. sav.,56661,3178,6430,11847
27,Molėtų r. sav.,19020,731,1575,4961
28,Neringos sav.,5063,146,365,893
29,Pagėgių sav.,8880,474,936,1890
30,Pakruojo r. sav.,20458,907,1990,5104
31,Palangos m. sav.,17990,886,1806,4845
32,Panevėžio m. sav.,94233,4869,9098,24343
33,Panevėžio r. sav.,39169,1954,3963,8573
34,Pasvalio r. sav.,25693,1261,2531,6163
35,Plungės r. sav.,36678,2119,3953,8156
36,Prienų r. sav.,27750,1320,2651,7060
37,Radviliškio r. sav.,38261,1858,3947,9199
38,Raseinių r. sav.,33859,1570,3313,8559
39,Rietavo sav.,8140,417,870,1786
40,Rokiškio r. sav.,31009,1206,2683,8304
41,Skuodo r. sav.,18694,913,1700,4779
42,Šakių r. sav.,29801,1384,2943,7049
43,Šalčininkų r. sav.,33950,1733,3793,6476
44,Šiaulių m. sav.,111271,6644,10630,25480
45,Šiaulių r. sav.,43876,2273,4587,9916
46,Šilalės r. sav.,24471,1267,2661,5212
47,Šilutės r. sav.,43840,2534,4744,9487
48,Širvintų r. sav.,16452,791,1513,3897
49,Švenčionių r. sav.,25234,1034,2233,6499
50,Tauragės r. sav.,42427,2442,4274,9783
51,Telšių r. sav.,44199,2236,4708,10538
52,Trakų r. sav.,34526,1994,3628,7244
53,Ukmergės r. sav.,36906,1816,3349,9741
54,Utenos r. sav.,40227,1739,3424,10441
55,Varėnos r. sav.,23140,954,1964,6269

56,Vilkaviškio r. sav.,38896,1943,4036,9364
57,Vilniaus m. sav.,580020,43097,66329,117912
58,Vilniaus r. sav.,105122,6013,12580,18512
59,Visagino sav.,22497,1226,2165,5756
60,Zarasų r. sav.,16744,639,1449,4615
,Iš viso:,3027617,175820,316798,690676
